-0.347441,-0.24557,-0.024872
-0.353335,-0.247823,-0.024411
-0.324614,-0.249457,-0.025884
-0.295041,-0.250628,-0.024268
-0.329857,-0.249089,-0.026307
-0.301807,-0.248807,-0.025679
-0.31381,-0.24982,-0.024829
-0.314134,-0.247763,-0.023201
-0.341392,-0.245795,-0.023896
-0.242686,-0.246743,-0.025241
-0.248769,-0.247646,-0.023677
-0.23205,-0.248813,-0.022829
-0.174244,-0.246571,-0.024142
-0.149097,-0.246215,-0.024361
-0.20371,-0.248523,-0.024032
-0.161762,-0.245882,-0.025396
-0.16481,-0.247876,-0.023612
-0.095402,-0.246494,-0.025324
-0.124277,-0.246264,-0.024156
-0.132635,-0.249687,-0.02401
-0.165568,-0.24794,-0.024594
-0.220703,-0.246587,-0.025485
-0.252303,-0.245129,-0.025206
-0.238191,-0.244117,-0.025219
-0.262573,-0.244426,-0.024104
-0.230746,-0.246671,-0.024035
-0.25542,-0.246412,-0.024851
-0.259175,-0.24618,-0.024555
-0.263995,-0.243722,-0.024625
-0.249966,-0.24376,-0.024694
-0.244084,-0.246915,-0.026117
-0.266169,-0.243991,-0.024849
-0.249059,-0.245935,-0.025566
-0.238136,-0.245355,-0.023382
-0.261197,-0.243841,-0.024331
-0.265625,-0.246864,-0.024258
-0.277353,-0.242565,-0.025708
-0.263595,-0.246865,-0.025433
-0.243072,-0.247416,-0.024745
-0.224483,-0.245366,-0.024875
-0.228219,-0.244637,-0.024999
-0.26552,-0.245203,-0.02425
-0.302356,-0.244697,-0.024501
-0.317883,-0.245098,-0.024336
-0.280987,-0.245006,-0.025423
-0.322502,-0.244681,-0.025838
-0.304669,-0.243488,-0.026102
-0.337346,-0.245044,-0.025936
-0.281382,-0.244623,-0.023916
-0.325082,-0.246219,-0.025338
-0.311327,-0.248953,-0.024724
-0.329095,-0.24881,-0.02589
-0.310477,-0.248202,-0.023562
-0.27957,-0.248756,-0.02621
-0.294834,-0.246519,-0.023255
-0.245111,-0.246597,-0.024624
-0.229247,-0.245725,-0.025286
-0.207237,-0.244747,-0.025015
-0.205893,-0.247703,-0.024865
-0.257276,-0.245673,-0.024542
-0.269924,-0.244767,-0.02408
-0.232872,-0.243399,-0.025549
-0.207319,-0.244422,-0.024385
-0.163804,-0.245386,-0.024797
-0.159521,-0.246375,-0.025616
-0.182531,-0.243876,-0.024335
-0.1896,-0.244953,-0.024415
-0.190219,-0.245004,-0.025325
-0.15423,-0.246501,-0.024595
-0.188277,-0.244165,-0.024433
-0.14761,-0.244468,-0.024523
-0.130021,-0.244001,-0.023918
-0.090891,-0.244031,-0.024967
-0.088913,-0.246793,-0.024289
-0.048471,-0.248708,-0.023367
-0.103552,-0.247532,-0.023763
-0.142593,-0.246716,-0.023774
-0.151428,-0.246743,-0.02504
-0.092657,-0.247669,-0.024318
-0.029434,-0.246763,-0.024838
-0.053412,-0.244969,-0.023799
-0.107232,-0.24489,-0.025251
-0.193829,-0.246098,-0.026433
-0.164367,-0.246735,-0.025586
-0.206879,-0.245792,-0.024214
-0.240444,-0.246312,-0.02279
